name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.075,0.081,0.019,0.140,0.388,0.607,0.470,nan,0.153
fastText-rw_kmeans,0.031,0.039,0.012,0.060,0.352,0.607,0.417,nan,0.039
fastText-rw_sim,0.070,0.075,0.010,0.130,0.384,0.607,0.469,nan,0.143
fastText-node2vec,0.031,0.046,0.001,0.060,0.339,0.607,0.413,nan,0.055
fastText-struc2vec,0.058,0.061,0.021,0.110,0.367,0.607,0.433,nan,0.097
fastText-deepwalk,0.020,0.043,0.001,0.040,0.371,0.607,0.447,nan,0.089
glove-rw,0.117,0.126,0.020,0.210,0.338,0.579,0.437,nan,0.235
glove-rw_kmeans,0.053,0.068,0.013,0.100,0.296,0.579,0.373,nan,0.113
glove-rw_sim,0.093,0.101,0.010,0.170,0.295,0.579,0.396,nan,0.189
glove-node2vec,0.010,0.025,0.000,0.020,0.170,0.579,0.242,nan,0.000
glove-struc2vec,0.081,0.089,0.022,0.150,0.280,0.579,0.353,nan,0.145
glove-deepwalk,0.010,0.038,0.000,0.020,0.175,0.579,0.250,nan,0.000
glove_twitter-rw,0.124,0.129,0.016,0.220,0.392,0.617,0.482,nan,0.277
glove_twitter-rw_kmeans,0.064,0.069,0.015,0.120,0.367,0.617,0.437,nan,0.192
glove_twitter-rw_sim,0.070,0.078,0.009,0.130,0.334,0.617,0.418,nan,0.170
glove_twitter-node2vec,0.020,0.033,0.001,0.040,0.249,0.617,0.300,nan,0.013
glove_twitter-struc2vec,0.087,0.092,0.024,0.160,0.347,0.617,0.414,nan,0.191
glove_twitter-deepwalk,0.005,0.033,0.000,0.010,0.241,0.617,0.293,nan,0.000
google_news-rw,0.020,0.028,0.001,0.040,0.143,0.479,0.185,nan,0.000
google_news-rw_kmeans,0.010,0.015,0.010,0.020,0.118,0.479,0.153,nan,0.000
google_news-rw_sim,0.026,0.031,0.001,0.050,0.179,0.479,0.229,nan,0.000
google_news-node2vec,0.047,0.052,0.004,0.090,0.178,0.479,0.220,nan,0.000
google_news-struc2vec,0.015,0.020,0.001,0.030,0.122,0.479,0.153,nan,0.000
google_news-deepwalk,0.047,0.060,0.003,0.090,0.209,0.479,0.253,nan,0.000
cnet_nb-rw,0.015,0.018,0.000,0.030,0.129,0.733,0.166,nan,0.000
cnet_nb-rw_kmeans,0.010,0.015,0.010,0.020,0.098,0.733,0.124,nan,0.000
cnet_nb-rw_sim,0.010,0.013,0.001,0.020,0.169,0.733,0.213,nan,0.000
cnet_nb-node2vec,0.093,0.101,0.007,0.170,0.252,0.733,0.321,nan,0.053
cnet_nb-struc2vec,0.010,0.013,0.000,0.020,0.090,0.733,0.118,nan,0.000
cnet_nb-deepwalk,0.087,0.098,0.010,0.160,0.292,0.733,0.362,nan,0.100
rw-rw_kmeans,0.105,0.119,0.011,0.190,0.244,nan,0.348,0.301,0.068
rw-rw_sim,0.290,0.294,0.031,0.450,0.234,nan,0.348,0.345,0.358
rw-node2vec,0.010,0.023,0.000,0.020,0.169,nan,0.348,0.299,0.000
rw-struc2vec,0.342,0.346,0.045,0.510,0.238,nan,0.348,0.294,0.401
rw-deepwalk,0.000,0.030,0.000,0.000,0.176,nan,0.348,0.321,0.000
rw_kmeans-rw_sim,0.047,0.052,0.001,0.090,0.212,nan,0.301,0.345,0.000
rw_kmeans-node2vec,0.015,0.018,0.002,0.030,0.155,nan,0.301,0.299,0.000
rw_kmeans-struc2vec,0.087,0.095,0.021,0.160,0.221,nan,0.301,0.294,0.010
rw_kmeans-deepwalk,0.020,0.028,0.001,0.040,0.161,nan,0.301,0.321,0.000
rw_sim-node2vec,0.058,0.061,0.003,0.110,0.168,nan,0.345,0.299,0.000
rw_sim-struc2vec,0.124,0.124,0.022,0.220,0.209,nan,0.345,0.294,0.077
rw_sim-deepwalk,0.081,0.086,0.003,0.150,0.182,nan,0.345,0.321,0.021
node2vec-struc2vec,0.000,0.015,0.000,0.000,0.154,nan,0.299,0.294,0.000
node2vec-deepwalk,0.408,0.408,0.046,0.580,0.165,nan,0.299,0.321,0.469
struc2vec-deepwalk,0.000,0.022,0.000,0.000,0.159,nan,0.294,0.321,0.000
