name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.105,0.108,0.016,0.190,0.376,0.564,0.414,nan,0.163
fastText-rw_kmeans,0.042,0.042,0.013,0.080,0.324,0.564,0.342,nan,0.011
fastText-rw_sim,0.105,0.113,0.006,0.190,0.388,0.564,0.440,nan,0.186
fastText-node2vec,0.036,0.039,0.003,0.070,0.407,0.564,0.410,nan,0.105
fastText-struc2vec,0.087,0.087,0.017,0.160,0.357,0.564,0.385,nan,0.112
fastText-deepwalk,0.042,0.044,0.002,0.080,0.398,0.564,0.409,nan,0.104
glove-rw,0.117,0.120,0.017,0.210,0.291,0.606,0.397,nan,0.166
glove-rw_kmeans,0.058,0.061,0.014,0.110,0.188,0.606,0.251,nan,0.000
glove-rw_sim,0.105,0.119,0.005,0.190,0.287,0.606,0.398,nan,0.161
glove-node2vec,0.005,0.008,0.000,0.010,0.127,0.606,0.204,nan,0.000
glove-struc2vec,0.099,0.102,0.018,0.180,0.265,0.606,0.361,nan,0.113
glove-deepwalk,0.000,0.003,0.000,0.000,0.103,0.606,0.158,nan,0.000
glove_twitter-rw,0.111,0.114,0.018,0.200,0.376,0.660,0.460,nan,0.192
glove_twitter-rw_kmeans,0.036,0.039,0.003,0.070,0.281,0.660,0.348,nan,0.010
glove_twitter-rw_sim,0.087,0.098,0.004,0.160,0.365,0.660,0.452,nan,0.166
glove_twitter-node2vec,0.000,0.000,0.000,0.000,0.192,0.660,0.221,nan,0.000
glove_twitter-struc2vec,0.099,0.099,0.018,0.180,0.356,0.660,0.435,nan,0.154
glove_twitter-deepwalk,0.000,0.000,0.000,0.000,0.193,0.660,0.221,nan,0.000
google_news-rw,0.042,0.042,0.012,0.080,0.208,0.501,0.241,nan,0.000
google_news-rw_kmeans,0.015,0.018,0.011,0.030,0.142,0.501,0.158,nan,0.000
google_news-rw_sim,0.047,0.052,0.003,0.090,0.234,0.501,0.276,nan,0.000
google_news-node2vec,0.036,0.039,0.002,0.070,0.321,0.501,0.307,nan,0.028
google_news-struc2vec,0.036,0.036,0.012,0.070,0.177,0.501,0.209,nan,0.000
google_news-deepwalk,0.031,0.034,0.002,0.060,0.320,0.501,0.308,nan,0.013
cnet_nb-rw,0.031,0.031,0.002,0.060,0.179,0.718,0.223,nan,0.000
cnet_nb-rw_kmeans,0.005,0.005,0.010,0.010,0.082,0.718,0.113,nan,0.000
cnet_nb-rw_sim,0.036,0.039,0.003,0.070,0.240,0.718,0.301,nan,0.000
cnet_nb-node2vec,0.227,0.233,0.012,0.370,0.420,0.718,0.534,nan,0.370
cnet_nb-struc2vec,0.026,0.026,0.002,0.050,0.138,0.718,0.178,nan,0.000
cnet_nb-deepwalk,0.212,0.218,0.026,0.350,0.392,0.718,0.503,nan,0.327
rw-rw_kmeans,0.058,0.058,0.005,0.110,0.197,nan,0.347,0.242,0.000
rw-rw_sim,0.493,0.493,0.033,0.660,0.233,nan,0.347,0.373,0.595
rw-node2vec,0.000,0.000,0.000,0.000,0.149,nan,0.347,0.335,0.000
rw-struc2vec,0.504,0.508,0.048,0.670,0.232,nan,0.347,0.314,0.598
rw-deepwalk,0.000,0.000,0.000,0.000,0.143,nan,0.347,0.320,0.000
rw_kmeans-rw_sim,0.070,0.072,0.005,0.130,0.186,nan,0.242,0.373,0.000
rw_kmeans-node2vec,0.000,0.003,0.000,0.000,0.111,nan,0.242,0.335,0.000
rw_kmeans-struc2vec,0.058,0.063,0.026,0.110,0.196,nan,0.242,0.314,0.000
rw_kmeans-deepwalk,0.000,0.003,0.000,0.000,0.108,nan,0.242,0.320,0.000
rw_sim-node2vec,0.000,0.003,0.000,0.000,0.170,nan,0.373,0.335,0.000
rw_sim-struc2vec,0.282,0.285,0.040,0.440,0.219,nan,0.373,0.314,0.327
rw_sim-deepwalk,0.000,0.003,0.000,0.000,0.163,nan,0.373,0.320,0.000
node2vec-struc2vec,0.000,0.000,0.000,0.000,0.133,nan,0.335,0.314,0.000
node2vec-deepwalk,0.449,0.449,0.037,0.620,0.244,nan,0.335,0.320,0.635
struc2vec-deepwalk,0.000,0.000,0.000,0.000,0.129,nan,0.314,0.320,0.000
