name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.093,0.101,0.019,0.170,0.399,0.625,0.486,nan,0.178
fastText-rw_kmeans,0.053,0.061,0.016,0.100,0.369,0.625,0.439,nan,0.083
fastText-rw_sim,0.099,0.102,0.020,0.180,0.402,0.625,0.497,nan,0.184
fastText-node2vec,0.026,0.028,0.004,0.050,0.424,0.625,0.462,nan,0.090
fastText-struc2vec,0.064,0.072,0.018,0.120,0.372,0.625,0.442,nan,0.100
fastText-deepwalk,0.042,0.044,0.002,0.080,0.439,0.625,0.486,nan,0.142
glove-rw,0.105,0.110,0.014,0.190,0.226,0.471,0.335,nan,0.156
glove-rw_kmeans,0.058,0.063,0.013,0.110,0.195,0.471,0.280,nan,0.060
glove-rw_sim,0.081,0.086,0.005,0.150,0.216,0.471,0.331,nan,0.111
glove-node2vec,0.020,0.026,0.006,0.040,0.088,0.471,0.139,nan,0.000
glove-struc2vec,0.064,0.069,0.015,0.120,0.197,0.471,0.284,nan,0.069
glove-deepwalk,0.020,0.023,0.000,0.040,0.100,0.471,0.151,nan,0.000
glove_twitter-rw,0.081,0.084,0.013,0.150,0.306,0.593,0.391,nan,0.144
glove_twitter-rw_kmeans,0.058,0.063,0.013,0.110,0.276,0.593,0.341,nan,0.085
glove_twitter-rw_sim,0.064,0.066,0.005,0.120,0.296,0.593,0.384,nan,0.108
glove_twitter-node2vec,0.005,0.010,0.000,0.010,0.166,0.593,0.189,nan,0.000
glove_twitter-struc2vec,0.053,0.055,0.014,0.100,0.294,0.593,0.364,nan,0.085
glove_twitter-deepwalk,0.010,0.013,0.000,0.020,0.187,0.593,0.214,nan,0.000
google_news-rw,0.058,0.063,0.009,0.110,0.256,0.575,0.303,nan,0.000
google_news-rw_kmeans,0.042,0.042,0.012,0.080,0.199,0.575,0.234,nan,0.000
google_news-rw_sim,0.075,0.075,0.018,0.140,0.282,0.575,0.336,nan,0.047
google_news-node2vec,0.031,0.034,0.002,0.060,0.370,0.575,0.376,nan,0.037
google_news-struc2vec,0.036,0.039,0.009,0.070,0.202,0.575,0.239,nan,0.000
google_news-deepwalk,0.036,0.039,0.001,0.070,0.380,0.575,0.397,nan,0.071
cnet_nb-rw,0.026,0.028,0.002,0.050,0.241,0.797,0.290,nan,0.000
cnet_nb-rw_kmeans,0.026,0.028,0.011,0.050,0.165,0.797,0.198,nan,0.000
cnet_nb-rw_sim,0.036,0.036,0.004,0.070,0.286,0.797,0.343,nan,0.009
cnet_nb-node2vec,0.081,0.081,0.009,0.150,0.424,0.797,0.481,nan,0.188
cnet_nb-struc2vec,0.020,0.023,0.004,0.040,0.178,0.797,0.217,nan,0.000
cnet_nb-deepwalk,0.087,0.087,0.005,0.160,0.432,0.797,0.493,nan,0.204
rw-rw_kmeans,0.242,0.252,0.017,0.390,0.204,nan,0.361,0.298,0.292
rw-rw_sim,0.639,0.643,0.042,0.780,0.225,nan,0.361,0.378,0.745
rw-node2vec,0.000,0.003,0.000,0.000,0.174,nan,0.361,0.329,0.000
rw-struc2vec,0.242,0.252,0.042,0.390,0.210,nan,0.361,0.309,0.301
rw-deepwalk,0.000,0.003,0.000,0.000,0.178,nan,0.361,0.348,0.000
rw_kmeans-rw_sim,0.212,0.215,0.027,0.350,0.199,nan,0.298,0.378,0.240
rw_kmeans-node2vec,0.000,0.003,0.000,0.000,0.144,nan,0.298,0.329,0.000
rw_kmeans-struc2vec,0.258,0.261,0.042,0.410,0.201,nan,0.298,0.309,0.311
rw_kmeans-deepwalk,0.000,0.003,0.000,0.000,0.147,nan,0.298,0.348,0.000
rw_sim-node2vec,0.000,0.003,0.000,0.000,0.187,nan,0.378,0.329,0.000
rw_sim-struc2vec,0.250,0.256,0.042,0.400,0.205,nan,0.378,0.309,0.303
rw_sim-deepwalk,0.005,0.008,0.010,0.010,0.191,nan,0.378,0.348,0.000
node2vec-struc2vec,0.000,0.000,0.000,0.000,0.144,nan,0.329,0.309,0.000
node2vec-deepwalk,0.205,0.205,0.010,0.340,0.249,nan,0.329,0.348,0.387
struc2vec-deepwalk,0.000,0.000,0.000,0.000,0.147,nan,0.309,0.348,0.000
