name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.064,0.072,0.013,0.120,0.389,0.578,0.443,nan,0.125
fastText-rw_kmeans,0.070,0.072,0.016,0.130,0.378,0.578,0.428,nan,0.115
fastText-rw_sim,0.064,0.074,0.007,0.120,0.377,0.578,0.451,nan,0.134
fastText-node2vec,0.020,0.020,0.001,0.040,0.336,0.578,0.375,nan,0.016
fastText-struc2vec,0.036,0.039,0.013,0.070,0.373,0.578,0.418,nan,0.068
fastText-deepwalk,0.020,0.020,0.001,0.040,0.351,0.578,0.392,nan,0.042
glove-rw,0.070,0.072,0.017,0.130,0.378,0.598,0.450,nan,0.203
glove-rw_kmeans,0.075,0.078,0.010,0.140,0.354,0.598,0.430,nan,0.185
glove-rw_sim,0.042,0.044,0.002,0.080,0.223,0.598,0.313,nan,0.035
glove-node2vec,0.005,0.005,0.000,0.010,0.062,0.598,0.099,nan,0.000
glove-struc2vec,0.064,0.066,0.013,0.120,0.363,0.598,0.425,nan,0.174
glove-deepwalk,0.010,0.013,0.001,0.020,0.059,0.598,0.101,nan,0.000
glove_twitter-rw,0.070,0.072,0.004,0.130,0.396,0.612,0.453,nan,0.189
glove_twitter-rw_kmeans,0.031,0.034,0.002,0.060,0.376,0.612,0.435,nan,0.122
glove_twitter-rw_sim,0.026,0.026,0.001,0.050,0.293,0.612,0.356,nan,0.042
glove_twitter-node2vec,0.005,0.005,0.000,0.010,0.187,0.612,0.213,nan,0.000
glove_twitter-struc2vec,0.070,0.070,0.003,0.130,0.380,0.612,0.437,nan,0.173
glove_twitter-deepwalk,0.005,0.005,0.000,0.010,0.187,0.612,0.222,nan,0.000
cnet_nb-rw,0.015,0.023,0.001,0.030,0.095,0.574,0.132,nan,0.000
cnet_nb-rw_kmeans,0.015,0.015,0.010,0.030,0.084,0.574,0.116,nan,0.000
cnet_nb-rw_sim,0.130,0.141,0.019,0.230,0.238,0.574,0.368,nan,0.170
cnet_nb-node2vec,0.170,0.170,0.020,0.290,0.226,0.574,0.337,nan,0.192
cnet_nb-struc2vec,0.005,0.005,0.000,0.010,0.074,0.574,0.102,nan,0.000
cnet_nb-deepwalk,0.130,0.130,0.010,0.230,0.216,0.574,0.316,nan,0.131
rw-rw_kmeans,0.156,0.165,0.007,0.270,0.249,nan,0.320,0.305,0.148
rw-rw_sim,0.081,0.092,0.005,0.150,0.194,nan,0.320,0.334,0.000
rw-node2vec,0.000,0.000,0.000,0.000,0.132,nan,0.320,0.231,0.000
rw-struc2vec,0.408,0.415,0.046,0.580,0.258,nan,0.320,0.296,0.506
rw-deepwalk,0.000,0.003,0.000,0.000,0.131,nan,0.320,0.234,0.000
rw_kmeans-rw_sim,0.058,0.063,0.004,0.110,0.184,nan,0.305,0.334,0.000
rw_kmeans-node2vec,0.000,0.000,0.000,0.000,0.128,nan,0.305,0.231,0.000
rw_kmeans-struc2vec,0.070,0.078,0.023,0.130,0.242,nan,0.305,0.296,0.000
rw_kmeans-deepwalk,0.000,0.003,0.000,0.000,0.127,nan,0.305,0.234,0.000
rw_sim-node2vec,0.124,0.124,0.008,0.220,0.154,nan,0.334,0.231,0.132
rw_sim-struc2vec,0.015,0.025,0.010,0.030,0.181,nan,0.334,0.296,0.000
rw_sim-deepwalk,0.143,0.143,0.011,0.250,0.154,nan,0.334,0.234,0.161
node2vec-struc2vec,0.000,0.000,0.000,0.000,0.123,nan,0.231,0.296,0.000
node2vec-deepwalk,0.325,0.325,0.014,0.490,0.154,nan,0.231,0.234,0.431
struc2vec-deepwalk,0.000,0.003,0.000,0.000,0.122,nan,0.296,0.234,0.000
