name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.105,0.105,0.018,0.190,0.382,0.598,0.451,nan,0.173
fastText-rw_kmeans,0.081,0.081,0.020,0.150,0.376,0.598,0.438,nan,0.133
fastText-rw_sim,0.105,0.105,0.006,0.190,0.400,0.598,0.484,nan,0.202
fastText-node2vec,0.005,0.008,0.005,0.010,0.343,0.598,0.394,nan,0.000
fastText-struc2vec,0.087,0.090,0.015,0.160,0.371,0.598,0.431,nan,0.142
fastText-deepwalk,0.010,0.013,0.001,0.020,0.344,0.598,0.398,nan,0.000
glove-rw,0.111,0.114,0.019,0.200,0.277,0.574,0.392,nan,0.167
glove-rw_kmeans,0.087,0.087,0.021,0.160,0.268,0.574,0.373,nan,0.123
glove-rw_sim,0.087,0.090,0.004,0.160,0.240,0.574,0.344,nan,0.115
glove-node2vec,0.010,0.013,0.003,0.020,0.085,0.574,0.155,nan,0.000
glove-struc2vec,0.087,0.087,0.018,0.160,0.263,0.574,0.370,nan,0.123
glove-deepwalk,0.010,0.015,0.001,0.020,0.092,0.574,0.164,nan,0.000
glove_twitter-rw,0.070,0.072,0.018,0.130,0.336,0.599,0.420,nan,0.143
glove_twitter-rw_kmeans,0.042,0.042,0.019,0.080,0.328,0.599,0.406,nan,0.096
glove_twitter-rw_sim,0.053,0.053,0.006,0.100,0.272,0.599,0.360,nan,0.063
glove_twitter-node2vec,0.005,0.008,0.000,0.010,0.130,0.599,0.173,nan,0.000
glove_twitter-struc2vec,0.058,0.058,0.015,0.110,0.329,0.599,0.399,nan,0.115
glove_twitter-deepwalk,0.015,0.018,0.001,0.030,0.150,0.599,0.198,nan,0.000
google_news-rw,0.081,0.084,0.007,0.150,0.159,0.430,0.214,nan,0.000
google_news-rw_kmeans,0.075,0.075,0.015,0.140,0.157,0.430,0.204,nan,0.000
google_news-rw_sim,0.075,0.075,0.004,0.140,0.190,0.430,0.249,nan,0.024
google_news-node2vec,0.020,0.023,0.005,0.040,0.168,0.430,0.190,nan,0.000
google_news-struc2vec,0.075,0.081,0.004,0.140,0.151,0.430,0.193,nan,0.000
google_news-deepwalk,0.015,0.018,0.011,0.030,0.161,0.430,0.188,nan,0.000
cnet_nb-rw,0.064,0.069,0.007,0.120,0.156,0.638,0.201,nan,0.000
cnet_nb-rw_kmeans,0.075,0.078,0.015,0.140,0.147,0.638,0.187,nan,0.000
cnet_nb-rw_sim,0.099,0.102,0.005,0.180,0.240,0.638,0.327,nan,0.080
cnet_nb-node2vec,0.105,0.105,0.006,0.190,0.276,0.638,0.390,nan,0.118
cnet_nb-struc2vec,0.058,0.058,0.004,0.110,0.133,0.638,0.170,nan,0.000
cnet_nb-deepwalk,0.093,0.093,0.008,0.170,0.263,0.638,0.373,nan,0.097
rw-rw_kmeans,0.493,0.496,0.030,0.660,0.230,nan,0.336,0.322,0.601
rw-rw_sim,0.538,0.546,0.028,0.700,0.220,nan,0.336,0.353,0.629
rw-node2vec,0.000,0.003,0.000,0.000,0.117,nan,0.336,0.260,0.000
rw-struc2vec,0.418,0.422,0.047,0.590,0.229,nan,0.336,0.313,0.528
rw-deepwalk,0.000,0.005,0.000,0.000,0.122,nan,0.336,0.264,0.000
rw_kmeans-rw_sim,0.408,0.408,0.020,0.580,0.215,nan,0.322,0.353,0.486
rw_kmeans-node2vec,0.000,0.003,0.000,0.000,0.113,nan,0.322,0.260,0.000
rw_kmeans-struc2vec,0.370,0.373,0.045,0.540,0.225,nan,0.322,0.313,0.453
rw_kmeans-deepwalk,0.000,0.003,0.000,0.000,0.117,nan,0.322,0.264,0.000
rw_sim-node2vec,0.031,0.034,0.002,0.060,0.136,nan,0.353,0.260,0.000
rw_sim-struc2vec,0.399,0.402,0.046,0.570,0.213,nan,0.353,0.313,0.474
rw_sim-deepwalk,0.036,0.039,0.007,0.070,0.138,nan,0.353,0.264,0.000
node2vec-struc2vec,0.000,0.003,0.000,0.000,0.111,nan,0.260,0.313,0.000
node2vec-deepwalk,0.802,0.802,0.046,0.890,0.175,nan,0.260,0.264,0.884
struc2vec-deepwalk,0.000,0.003,0.000,0.000,0.116,nan,0.313,0.264,0.000
