name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.064,0.064,0.016,0.120,0.344,0.558,0.385,nan,0.075
fastText-rw_kmeans,0.064,0.064,0.020,0.120,0.341,0.558,0.381,nan,0.071
fastText-rw_sim,0.099,0.102,0.004,0.180,0.392,0.558,0.465,nan,0.181
fastText-node2vec,0.053,0.055,0.007,0.100,0.332,0.558,0.371,nan,0.044
fastText-struc2vec,0.042,0.044,0.009,0.080,0.329,0.558,0.356,nan,0.026
fastText-deepwalk,0.064,0.069,0.008,0.120,0.344,0.558,0.386,nan,0.076
glove-rw,0.075,0.075,0.023,0.140,0.212,0.482,0.292,nan,0.058
glove-rw_kmeans,0.070,0.070,0.024,0.130,0.208,0.482,0.287,nan,0.048
glove-rw_sim,0.053,0.053,0.007,0.100,0.162,0.482,0.239,nan,0.000
glove-node2vec,0.010,0.010,0.002,0.020,0.108,0.482,0.154,nan,0.000
glove-struc2vec,0.064,0.066,0.020,0.120,0.189,0.482,0.248,nan,0.018
glove-deepwalk,0.015,0.020,0.002,0.030,0.125,0.482,0.179,nan,0.000
glove_twitter-rw,0.093,0.093,0.023,0.170,0.314,0.514,0.346,nan,0.165
glove_twitter-rw_kmeans,0.093,0.093,0.025,0.170,0.311,0.514,0.345,nan,0.164
glove_twitter-rw_sim,0.058,0.058,0.003,0.110,0.248,0.514,0.301,nan,0.058
glove_twitter-node2vec,0.020,0.020,0.002,0.040,0.206,0.514,0.224,nan,0.000
glove_twitter-struc2vec,0.075,0.078,0.020,0.140,0.309,0.514,0.336,nan,0.137
glove_twitter-deepwalk,0.015,0.020,0.001,0.030,0.216,0.514,0.226,nan,0.000
google_news-rw,0.058,0.058,0.011,0.110,0.184,0.393,0.176,nan,0.000
google_news-rw_kmeans,0.058,0.058,0.019,0.110,0.182,0.393,0.177,nan,0.000
google_news-rw_sim,0.047,0.047,0.003,0.090,0.219,0.393,0.215,nan,0.000
google_news-node2vec,0.015,0.015,0.002,0.030,0.148,0.393,0.138,nan,0.000
google_news-struc2vec,0.036,0.039,0.007,0.070,0.167,0.393,0.153,nan,0.000
google_news-deepwalk,0.020,0.023,0.002,0.040,0.167,0.393,0.155,nan,0.000
cnet_nb-rw,0.031,0.031,0.005,0.060,0.123,0.571,0.165,nan,0.000
cnet_nb-rw_kmeans,0.031,0.031,0.014,0.060,0.122,0.571,0.167,nan,0.000
cnet_nb-rw_sim,0.190,0.190,0.009,0.320,0.269,0.571,0.414,nan,0.229
cnet_nb-node2vec,0.170,0.170,0.032,0.290,0.190,0.571,0.304,nan,0.107
cnet_nb-struc2vec,0.020,0.020,0.004,0.040,0.096,0.571,0.126,nan,0.000
cnet_nb-deepwalk,0.163,0.166,0.031,0.280,0.193,0.571,0.301,nan,0.109
rw-rw_kmeans,0.802,0.806,0.041,0.890,0.209,nan,0.273,0.272,0.864
rw-rw_sim,0.274,0.274,0.030,0.430,0.176,nan,0.273,0.327,0.287
rw-node2vec,0.099,0.102,0.004,0.180,0.156,nan,0.273,0.238,0.048
rw-struc2vec,0.493,0.496,0.047,0.660,0.204,nan,0.273,0.244,0.583
rw-deepwalk,0.064,0.069,0.003,0.120,0.158,nan,0.273,0.249,0.000
rw_kmeans-rw_sim,0.258,0.258,0.029,0.410,0.175,nan,0.272,0.327,0.272
rw_kmeans-node2vec,0.087,0.090,0.003,0.160,0.155,nan,0.272,0.238,0.036
rw_kmeans-struc2vec,0.429,0.436,0.046,0.600,0.202,nan,0.272,0.244,0.514
rw_kmeans-deepwalk,0.053,0.058,0.002,0.100,0.156,nan,0.272,0.249,0.000
rw_sim-node2vec,0.389,0.389,0.046,0.560,0.165,nan,0.327,0.238,0.460
rw_sim-struc2vec,0.163,0.163,0.039,0.280,0.165,nan,0.327,0.244,0.111
rw_sim-deepwalk,0.389,0.392,0.046,0.560,0.169,nan,0.327,0.249,0.469
node2vec-struc2vec,0.042,0.044,0.003,0.080,0.150,nan,0.238,0.244,0.000
node2vec-deepwalk,0.493,0.493,0.047,0.660,0.151,nan,0.238,0.249,0.566
struc2vec-deepwalk,0.047,0.052,0.001,0.090,0.152,nan,0.244,0.249,0.000
