name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.010,0.015,0.001,0.020,0.344,0.590,0.378,nan,0.000
fastText-rw_kmeans,0.005,0.005,0.000,0.010,0.334,0.590,0.356,nan,0.000
fastText-rw_sim,0.064,0.077,0.005,0.120,0.390,0.590,0.481,nan,0.161
fastText-node2vec,0.026,0.038,0.003,0.050,0.342,0.590,0.393,nan,0.043
fastText-struc2vec,0.010,0.010,0.000,0.020,0.329,0.590,0.354,nan,0.000
fastText-deepwalk,0.020,0.028,0.001,0.040,0.349,0.590,0.397,nan,0.037
glove-rw,0.020,0.026,0.001,0.040,0.316,0.570,0.364,nan,0.040
glove-rw_kmeans,0.010,0.015,0.001,0.020,0.322,0.570,0.366,nan,0.023
glove-rw_sim,0.053,0.063,0.002,0.100,0.207,0.570,0.331,nan,0.048
glove-node2vec,0.010,0.020,0.003,0.020,0.009,0.570,0.085,nan,0.000
glove-struc2vec,0.020,0.020,0.001,0.040,0.282,0.570,0.320,nan,0.022
glove-deepwalk,0.010,0.015,0.001,0.020,0.000,0.570,0.068,nan,0.000
glove_twitter-rw,0.020,0.026,0.001,0.040,0.387,0.631,0.433,nan,0.099
glove_twitter-rw_kmeans,0.020,0.020,0.002,0.040,0.377,0.631,0.418,nan,0.078
glove_twitter-rw_sim,0.058,0.066,0.002,0.110,0.300,0.631,0.401,nan,0.094
glove_twitter-node2vec,0.005,0.013,0.003,0.010,0.097,0.631,0.147,nan,0.000
glove_twitter-struc2vec,0.010,0.010,0.000,0.020,0.351,0.631,0.388,nan,0.057
glove_twitter-deepwalk,0.000,0.005,0.000,0.000,0.107,0.631,0.150,nan,0.000
cnet_nb-rw,0.000,0.003,0.000,0.000,0.047,0.645,0.068,nan,0.000
cnet_nb-rw_kmeans,0.000,0.000,0.000,0.000,0.040,0.645,0.054,nan,0.000
cnet_nb-rw_sim,0.163,0.166,0.015,0.280,0.352,0.645,0.478,nan,0.267
cnet_nb-node2vec,0.212,0.221,0.016,0.350,0.358,0.645,0.468,nan,0.350
cnet_nb-struc2vec,0.000,0.000,0.000,0.000,0.032,0.645,0.049,nan,0.000
cnet_nb-deepwalk,0.176,0.188,0.022,0.300,0.350,0.645,0.457,nan,0.290
rw-rw_kmeans,0.036,0.041,0.007,0.070,0.263,nan,0.269,0.256,0.000
rw-rw_sim,0.047,0.050,0.003,0.090,0.160,nan,0.269,0.395,0.000
rw-node2vec,0.000,0.003,0.000,0.000,0.073,nan,0.269,0.261,0.000
rw-struc2vec,0.449,0.449,0.047,0.620,0.247,nan,0.269,0.239,0.525
rw-deepwalk,0.000,0.003,0.000,0.000,0.078,nan,0.269,0.256,0.000
rw_kmeans-rw_sim,0.015,0.015,0.001,0.030,0.157,nan,0.256,0.395,0.000
rw_kmeans-node2vec,0.000,0.000,0.000,0.000,0.071,nan,0.256,0.261,0.000
rw_kmeans-struc2vec,0.015,0.015,0.002,0.030,0.241,nan,0.256,0.239,0.000
rw_kmeans-deepwalk,0.000,0.000,0.000,0.000,0.076,nan,0.256,0.256,0.000
rw_sim-node2vec,0.099,0.104,0.015,0.180,0.176,nan,0.395,0.261,0.175
rw_sim-struc2vec,0.010,0.013,0.010,0.020,0.146,nan,0.395,0.239,0.000
rw_sim-deepwalk,0.136,0.139,0.008,0.240,0.176,nan,0.395,0.256,0.222
node2vec-struc2vec,0.000,0.000,0.000,0.000,0.071,nan,0.261,0.239,0.000
node2vec-deepwalk,0.212,0.221,0.014,0.350,0.188,nan,0.261,0.256,0.368
struc2vec-deepwalk,0.000,0.000,0.000,0.000,0.076,nan,0.239,0.256,0.000
