name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.036,0.036,0.004,0.070,0.332,0.531,0.331,nan,0.022
fastText-rw_kmeans,0.031,0.031,0.013,0.060,0.325,0.531,0.328,nan,0.006
fastText-rw_sim,0.070,0.072,0.007,0.130,0.339,0.531,0.376,nan,0.098
fastText-node2vec,0.064,0.064,0.004,0.120,0.353,0.531,0.392,nan,0.105
fastText-struc2vec,0.026,0.026,0.004,0.050,0.323,0.531,0.321,nan,0.000
fastText-deepwalk,0.075,0.075,0.005,0.140,0.360,0.531,0.403,nan,0.129
glove-rw,0.015,0.020,0.003,0.030,0.137,0.449,0.216,nan,0.000
glove-rw_kmeans,0.015,0.020,0.012,0.030,0.132,0.449,0.216,nan,0.000
glove-rw_sim,0.020,0.023,0.001,0.040,0.134,0.449,0.233,nan,0.000
glove-node2vec,0.020,0.023,0.002,0.040,0.115,0.449,0.206,nan,0.000
glove-struc2vec,0.015,0.023,0.004,0.030,0.128,0.449,0.205,nan,0.000
glove-deepwalk,0.020,0.023,0.001,0.040,0.126,0.449,0.226,nan,0.000
glove_twitter-rw,0.005,0.005,0.000,0.010,0.161,0.498,0.218,nan,0.000
glove_twitter-rw_kmeans,0.010,0.010,0.010,0.020,0.155,0.498,0.215,nan,0.000
glove_twitter-rw_sim,0.005,0.005,0.000,0.010,0.183,0.498,0.253,nan,0.000
glove_twitter-node2vec,0.010,0.013,0.000,0.020,0.168,0.498,0.222,nan,0.000
glove_twitter-struc2vec,0.005,0.005,0.000,0.010,0.163,0.498,0.214,nan,0.000
glove_twitter-deepwalk,0.010,0.013,0.000,0.020,0.179,0.498,0.235,nan,0.000
google_news-rw,0.005,0.005,0.000,0.010,0.109,0.444,0.137,nan,0.000
google_news-rw_kmeans,0.005,0.005,0.010,0.010,0.106,0.444,0.133,nan,0.000
google_news-rw_sim,0.010,0.013,0.001,0.020,0.146,0.444,0.191,nan,0.000
google_news-node2vec,0.010,0.010,0.001,0.020,0.146,0.444,0.175,nan,0.000
google_news-struc2vec,0.000,0.000,0.000,0.000,0.108,0.444,0.138,nan,0.000
google_news-deepwalk,0.015,0.015,0.001,0.030,0.158,0.444,0.194,nan,0.000
cnet_nb-rw,0.036,0.036,0.002,0.070,0.107,0.502,0.155,nan,0.000
cnet_nb-rw_kmeans,0.026,0.026,0.012,0.050,0.099,0.502,0.147,nan,0.000
cnet_nb-rw_sim,0.170,0.170,0.012,0.290,0.224,0.502,0.365,nan,0.194
cnet_nb-node2vec,0.307,0.310,0.024,0.470,0.236,0.502,0.367,nan,0.365
cnet_nb-struc2vec,0.031,0.031,0.002,0.060,0.093,0.502,0.142,nan,0.000
cnet_nb-deepwalk,0.316,0.319,0.028,0.480,0.241,0.502,0.375,nan,0.383
rw-rw_kmeans,0.695,0.695,0.039,0.820,0.207,nan,0.211,0.208,0.775
rw-rw_sim,0.274,0.274,0.030,0.430,0.173,nan,0.211,0.284,0.313
rw-node2vec,0.047,0.047,0.001,0.090,0.147,nan,0.211,0.273,0.000
rw-struc2vec,0.449,0.449,0.047,0.620,0.198,nan,0.211,0.204,0.537
rw-deepwalk,0.058,0.058,0.001,0.110,0.148,nan,0.211,0.287,0.000
rw_kmeans-rw_sim,0.258,0.258,0.028,0.410,0.171,nan,0.208,0.284,0.280
rw_kmeans-node2vec,0.020,0.023,0.000,0.040,0.143,nan,0.208,0.273,0.000
rw_kmeans-struc2vec,0.389,0.389,0.045,0.560,0.197,nan,0.208,0.204,0.472
rw_kmeans-deepwalk,0.026,0.028,0.001,0.050,0.144,nan,0.208,0.287,0.000
rw_sim-node2vec,0.282,0.285,0.016,0.440,0.167,nan,0.284,0.273,0.375
rw_sim-struc2vec,0.258,0.258,0.043,0.410,0.168,nan,0.284,0.204,0.274
rw_sim-deepwalk,0.282,0.285,0.027,0.440,0.170,nan,0.284,0.287,0.378
node2vec-struc2vec,0.047,0.047,0.003,0.090,0.144,nan,0.273,0.204,0.000
node2vec-deepwalk,0.923,0.923,0.051,0.960,0.177,nan,0.273,0.287,0.946
struc2vec-deepwalk,0.047,0.047,0.001,0.090,0.145,nan,0.204,0.287,0.000
