name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.099,0.099,0.011,0.180,0.385,0.575,0.449,nan,0.197
fastText-rw_kmeans,0.099,0.102,0.018,0.180,0.379,0.575,0.448,nan,0.195
fastText-rw_sim,0.099,0.102,0.011,0.180,0.413,0.575,0.499,nan,0.229
fastText-node2vec,0.031,0.031,0.003,0.060,0.354,0.575,0.392,nan,0.054
fastText-struc2vec,0.099,0.102,0.018,0.180,0.376,0.575,0.442,nan,0.188
fastText-deepwalk,0.015,0.015,0.002,0.030,0.352,0.575,0.377,nan,0.018
glove-rw,0.136,0.145,0.022,0.240,0.268,0.494,0.401,nan,0.249
glove-rw_kmeans,0.143,0.149,0.028,0.250,0.277,0.494,0.415,nan,0.264
glove-rw_sim,0.099,0.102,0.011,0.180,0.191,0.494,0.326,nan,0.103
glove-node2vec,0.010,0.013,0.001,0.020,0.061,0.494,0.133,nan,0.000
glove-struc2vec,0.130,0.141,0.028,0.230,0.270,0.494,0.398,nan,0.236
glove-deepwalk,0.015,0.015,0.002,0.030,0.072,0.494,0.145,nan,0.000
glove_twitter-rw,0.124,0.129,0.032,0.220,0.347,0.535,0.427,nan,0.253
glove_twitter-rw_kmeans,0.130,0.133,0.032,0.230,0.365,0.535,0.448,nan,0.288
glove_twitter-rw_sim,0.087,0.090,0.005,0.160,0.288,0.535,0.422,nan,0.111
glove_twitter-node2vec,0.000,0.003,0.000,0.000,0.145,0.535,0.182,nan,0.000
glove_twitter-struc2vec,0.117,0.126,0.031,0.210,0.362,0.535,0.436,nan,0.267
glove_twitter-deepwalk,0.015,0.015,0.002,0.030,0.143,0.535,0.184,nan,0.000
google_news-rw,0.081,0.086,0.013,0.150,0.205,0.448,0.250,nan,0.044
google_news-rw_kmeans,0.081,0.089,0.021,0.150,0.195,0.448,0.249,nan,0.028
google_news-rw_sim,0.081,0.086,0.010,0.150,0.258,0.448,0.320,nan,0.100
google_news-node2vec,0.020,0.020,0.002,0.040,0.204,0.448,0.221,nan,0.000
google_news-struc2vec,0.075,0.083,0.020,0.140,0.182,0.448,0.231,nan,0.000
google_news-deepwalk,0.020,0.020,0.002,0.040,0.205,0.448,0.199,nan,0.000
cnet_nb-rw,0.042,0.044,0.004,0.080,0.314,0.743,0.351,nan,0.060
cnet_nb-rw_kmeans,0.026,0.028,0.013,0.050,0.280,0.743,0.316,nan,0.015
cnet_nb-rw_sim,0.156,0.156,0.013,0.270,0.483,0.743,0.563,nan,0.352
cnet_nb-node2vec,0.198,0.198,0.009,0.330,0.430,0.743,0.499,nan,0.313
cnet_nb-struc2vec,0.026,0.028,0.004,0.050,0.249,0.743,0.283,nan,0.000
cnet_nb-deepwalk,0.156,0.156,0.007,0.270,0.423,0.743,0.486,nan,0.261
rw-rw_kmeans,0.600,0.600,0.037,0.750,0.259,nan,0.375,0.375,0.721
rw-rw_sim,0.212,0.215,0.028,0.350,0.247,nan,0.375,0.426,0.297
rw-node2vec,0.047,0.047,0.006,0.090,0.174,nan,0.375,0.286,0.063
rw-struc2vec,0.515,0.515,0.047,0.680,0.253,nan,0.375,0.358,0.615
rw-deepwalk,0.042,0.042,0.002,0.080,0.174,nan,0.375,0.278,0.044
rw_kmeans-rw_sim,0.190,0.193,0.026,0.320,0.238,nan,0.375,0.426,0.238
rw_kmeans-node2vec,0.005,0.008,0.010,0.010,0.163,nan,0.375,0.286,0.000
rw_kmeans-struc2vec,0.613,0.613,0.048,0.760,0.256,nan,0.375,0.358,0.721
rw_kmeans-deepwalk,0.005,0.005,0.000,0.010,0.164,nan,0.375,0.278,0.000
rw_sim-node2vec,0.176,0.179,0.024,0.300,0.218,nan,0.426,0.286,0.352
rw_sim-struc2vec,0.170,0.173,0.038,0.290,0.230,nan,0.426,0.358,0.193
rw_sim-deepwalk,0.190,0.190,0.010,0.320,0.216,nan,0.426,0.278,0.357
node2vec-struc2vec,0.000,0.003,0.000,0.000,0.157,nan,0.286,0.358,0.000
node2vec-deepwalk,0.439,0.439,0.035,0.610,0.203,nan,0.286,0.278,0.622
struc2vec-deepwalk,0.000,0.000,0.000,0.000,0.158,nan,0.358,0.278,0.000
