name,IoU,advIoU,meanRec,accuracy,cosine,ref_cosine_query,algo1_cosine_query,algo2_cosine_query,wordmover
fastText-rw,0.031,0.039,0.007,0.060,0.376,0.634,0.438,nan,0.045
fastText-rw_kmeans,0.015,0.020,0.011,0.030,0.340,0.634,0.392,nan,0.000
fastText-rw_sim,0.058,0.069,0.002,0.110,0.411,0.634,0.509,nan,0.156
fastText-node2vec,0.053,0.058,0.005,0.100,0.441,0.634,0.534,nan,0.174
fastText-struc2vec,0.026,0.033,0.011,0.050,0.374,0.634,0.434,nan,0.033
fastText-deepwalk,0.042,0.047,0.003,0.080,0.425,0.634,0.506,nan,0.133
glove-rw,0.064,0.072,0.008,0.120,0.289,0.593,0.357,nan,0.107
glove-rw_kmeans,0.015,0.020,0.011,0.030,0.223,0.593,0.264,nan,0.000
glove-rw_sim,0.036,0.041,0.002,0.070,0.150,0.593,0.263,nan,0.000
glove-node2vec,0.015,0.018,0.002,0.030,0.024,0.593,0.089,nan,0.000
glove-struc2vec,0.053,0.055,0.012,0.100,0.289,0.593,0.352,nan,0.085
glove-deepwalk,0.005,0.008,0.000,0.010,-0.028,0.593,0.022,nan,0.000
glove_twitter-rw,0.058,0.061,0.008,0.110,0.352,0.641,0.405,nan,0.138
glove_twitter-rw_kmeans,0.010,0.015,0.011,0.020,0.303,0.641,0.347,nan,0.023
glove_twitter-rw_sim,0.015,0.020,0.001,0.030,0.272,0.641,0.373,nan,0.000
glove_twitter-node2vec,0.005,0.008,0.000,0.010,0.241,0.641,0.330,nan,0.000
glove_twitter-struc2vec,0.036,0.036,0.012,0.070,0.349,0.641,0.401,nan,0.105
glove_twitter-deepwalk,0.000,0.003,0.000,0.000,0.147,0.641,0.205,nan,0.000
cnet_nb-rw,0.010,0.015,0.000,0.020,0.086,0.668,0.102,nan,0.000
cnet_nb-rw_kmeans,0.010,0.013,0.013,0.020,0.061,0.668,0.076,nan,0.000
cnet_nb-rw_sim,0.212,0.218,0.022,0.350,0.392,0.668,0.538,nan,0.373
cnet_nb-node2vec,0.170,0.175,0.021,0.290,0.349,0.668,0.477,nan,0.290
cnet_nb-struc2vec,0.000,0.003,0.000,0.000,0.069,0.668,0.082,nan,0.000
cnet_nb-deepwalk,0.227,0.227,0.030,0.370,0.361,0.668,0.497,nan,0.361
rw-rw_kmeans,0.093,0.096,0.010,0.170,0.194,nan,0.285,0.234,0.000
rw-rw_sim,0.047,0.050,0.004,0.090,0.149,nan,0.285,0.398,0.000
rw-node2vec,0.000,0.007,0.000,0.000,0.125,nan,0.285,0.347,0.000
rw-struc2vec,0.515,0.515,0.048,0.680,0.241,nan,0.285,0.275,0.610
rw-deepwalk,0.000,0.005,0.000,0.000,0.106,nan,0.285,0.301,0.000
rw_kmeans-rw_sim,0.036,0.036,0.004,0.070,0.124,nan,0.234,0.398,0.000
rw_kmeans-node2vec,0.000,0.005,0.000,0.000,0.111,nan,0.234,0.347,0.000
rw_kmeans-struc2vec,0.099,0.099,0.027,0.180,0.194,nan,0.234,0.275,0.000
rw_kmeans-deepwalk,0.005,0.010,0.000,0.010,0.092,nan,0.234,0.301,0.000
rw_sim-node2vec,0.205,0.211,0.016,0.340,0.230,nan,0.398,0.347,0.357
rw_sim-struc2vec,0.026,0.028,0.001,0.050,0.142,nan,0.398,0.275,0.000
rw_sim-deepwalk,0.136,0.139,0.008,0.240,0.218,nan,0.398,0.301,0.238
node2vec-struc2vec,0.000,0.005,0.000,0.000,0.119,nan,0.347,0.275,0.000
node2vec-deepwalk,0.290,0.290,0.013,0.450,0.240,nan,0.347,0.301,0.458
struc2vec-deepwalk,0.000,0.005,0.000,0.000,0.100,nan,0.275,0.301,0.000
