0,1,2,3,4,5,6,7
Graph Name,Nodes,Edges,Average Degree,Max Degree Node,Connected Components,LCC Desnity,Clustering Coefficient
ART,3927,12085,6.155,"('dance', 492)",2,99.949 %,0.0133
NETWORK,7069,26449,7.483,"('network', 714)",3,99.859 %,0.01314
BREAD,3128,8401,5.371,"('bread', 695)",2,99.936 %,0.00785
FLOWER,2156,5444,5.05,"('flower', 1030)",1,100.0 %,0.01116
LION,783,1753,4.478,"('animal', 196)",1,100.0 %,0.00756
NODE,1102,2529,4.59,"('node', 322)",1,100.0 %,0.00514
TECHNOLOGY,2593,6732,5.192,"('technology', 583)",1,100.0 %,0.00813
KING,1977,5293,5.355,"('king', 465)",1,100.0 %,0.01071
INFORMATION,3977,11762,5.915,"('information', 688)",2,99.925 %,0.00984
PLANET,890,2160,4.854,"('planet', 477)",1,100.0 %,0.01298
